楼盘名称,开发商名称,是否售空,销售单价,楼盘性质
星著柏悦府,杭州敏骏房地产开发有限责任公司,在售,203-317万/套,住宅
杭州光谷国际中心,杭州光谷高新集团有限公司,在售,100-137万/套,商业类
中融蓝城Co.C理想城,杭州中融控股集团有限公司,在售,100-150万/套,商业类
桐庐金色港湾度假村,杭州金色港湾旅游开发有限公司,在售,268万/套,住宅
五幸金座,杭州西江置业有限公司,在售,100-130万/套,商业类
中天宸望,杭州嘉珺房地产开发有限公司,在售,245-275万/套,住宅
云溪别院,杭州桐庐熙林房地产开发有限责任公司,在售,128-130万/套,住宅
鼓山晟林商业中心,浙江淳安华丝实业有限公司,在售,92-202万/套,商业类
中天溪珺庭,杭州嘉弘房地产开发有限公司,在售,100-216万/套,住宅
西投滨江云栖名筑,杭州西江横桥置业有限公司,在售,700-1000万/套,商业类
西房良语云缦,杭州鑫骋置业有限公司,在售,270-396万/套,住宅
融创云辰富源里,杭州富阳融驰置业有限公司,在售,264-384万/套,住宅
同进韵动城,浙江中证置业有限公司,在售,125-145.6万/套,商业类
苏荷汇,杭州市地铁集团有限责任公司,在售,165-460万/套,商业类
美的滨湖翠邸,杭州美钰房地产发展有限公司,在售,180-318万/套,住宅
联发阳光城檀境里,杭州联毓房地产开发有限公司,在售,172-245万/套,住宅
亚奥城西区,华润置地（杭州）发展有限公司,在售,140万/套,写字楼
广宇东润大厦,浙江上东房地产开发有限公司,在售,190-380万/套,商业类
翠苑荟,杭州和高置业有限公司,在售,500万/套,底商
龙大悦江府,杭州龙大洋安房地产有限公司,在售,价格待定,别墅
西溪印,杭州星溪置业有限公司,在售,55000元/㎡,写字楼
龙潭渡·云湖湾,浙江分水龙潭渡文创产业发展有限公司,在售,145-190万/套,别墅
德信中南江山云起院,德信地产集团有限公司,在售,133-168万/套,住宅
德信中南江山云起院,德信地产集团有限公司,在售,310-330万/套,别墅
龙大悦江府,杭州龙大洋安房地产有限公司,在售,180-240万/套,住宅
世茂国风源赋,杭州茂荣房地产开发有限公司,在售,550万/套,别墅
地铁万科五常车辆段上盖,杭州西曙置业有限公司,在售,188万/套,商业类
枫柏兰庭,杭州潜府远创房地产开发有限公司,在售,108-155万/套,住宅
伟业熙境府,杭州隽伟置业有限公司,在售,200万/套,底商
悦湖湾花园,杭州千岛湖浙远房地产开发有限公司,在售,290-350万/套,别墅
山澜桂语轩,杭州绿城浙兴置业有限公司,在售,290-335万/套,住宅
首开东城金茂府,兴茂置业（杭州）有限公司,在售,400万/套,底商
圆尊府,杭州圆宁科技有限公司,在售,价格待定,别墅
滨江半岛印象二期,杭州千岛湖滨翠海岸房地产开发有限公司,在售,106-135万/套,住宅
美的滨湖翠邸,杭州美钰房地产发展有限公司,待售,价格待定,底商
三盛大家汝悦美境府,杭州萧麟置业有限公司,在售,200万/套,底商
半山林畔商务中心,杭州半山半岛置业有限公司,在售,1800万/套,商业
绿城千岛湖湖畔澄庐,杭州绿城浙韵置业有限公司,在售,130-210万/套,住宅
绿城千岛湖湖畔澄庐,杭州绿城浙韵置业有限公司,在售,328-347万/套,别墅
宋都如意云庐,杭州逸都房地产开发有限公司,在售,110万/套,底商
嘉裕天城,杭州远邦房地产开发有限公司,在售,50万/套,商业类
樟宜翠湾,杭州锦宁置业有限公司,在售,117万/套,底商
龙坞茗筑,浙江蓝绿茶业发展有限公司,在售,1400-3200万/套,商业
雨润星雨华府三期,杭州众汇置业有限公司,在售,172-221.11万/套,住宅
樾臻府,杭州锦虹房地产开发有限公司,在售,116-150万/套,住宅
锦上悦华里,华凌置地（杭州）有限公司,在售,160.02-207万/套,住宅
瑶琳华庭,杭州凯全实业有限公司,在售,58-90万/套,住宅
宇洋观山樾,桐庐桐辉置业有限公司,在售,75-125万/套,住宅
融悦天辰府,杭州融旺房地产开发有限公司,在售,105-159万/套,住宅
嘉品美寓,杭州申睿物流科技有限公司,在售,202-300万/套,住宅
德信赋富春云庄,杭州德信桐林置业有限公司,在售,180-300万/套,住宅
德信赋富春云庄,杭州德信桐林置业有限公司,在售,513-551万/套,别墅
绿城蓝庭西区,杭州余杭金腾房地产开发有限公司,在售,10000万/套,商业
望湖尚城,杭州聚泓置业有限公司,在售,420万/套,商业
文宸望府,杭州德信所前置业有限公司,在售,208-260万/套,住宅
三迪雅颂美筑,杭州迪航置业发展有限公司,在售,130-160万/套,住宅
江山风华邻里中心,杭州金运房地产开发有限公司,在售,210万/套,商业
玲珑湾,淳安千岛湖益新房地产开发有限公司,在售,60-70万/套,商业类
德信新希望长粼之宸,杭州锦灏置业有限公司,在售,345-385万/套,住宅
城市蓝湾,杭州宸泰房地产开发有限公司,在售,95-140万/套,住宅
翠悦半岛,杭州赞成金御房地产开发有限公司,在售,410-437万/套,住宅
翠悦半岛,杭州赞成金御房地产开发有限公司,在售,540万/套,别墅
辰春澜城,杭州北辰京阳置业有限公司,在售,180-250万/套,住宅
国开东方锦城学府,杭州轩湖房地产开发有限公司,在售,65万/套,底商
众安明彩城,浙江众都置业有限公司,在售,40000元/㎡,底商
申花印月,中锦联城控股有限公司,在售,210万/套,底商
赞成武林里,杭州赞成美树置业有限公司,在售,270万/套,底商
杭州富力中心,杭州富力房地产开发有限公司,在售,价格待定,底商
兴耀樱漫里,杭州星漾置业有限公司,在售,160.2-244.8万/套,住宅
新安明月府,杭州辰居置业有限公司,在售,151-204万/套,住宅
新安明月府,杭州辰居置业有限公司,在售,350-430万/套,别墅
富景都会公寓,杭州富阳富茂置业有限公司,在售,99万/套,商业类
富景都会公寓,杭州富阳富茂置业有限公司,在售,169万/套,底商
龙大江景府,杭州龙大洋安房地产有限公司,在售,234-300万/套,住宅
龙大江景府,杭州龙大洋安房地产有限公司,在售,价格待定,别墅
柏源晶舍,杭州绿临房地产开发有限公司,在售,80-250万/套,住宅
杭黄未来社区,融创,在售,147-221万/套,住宅
棠颂大院,杭州青曼置业有限公司,在售,115-196万/套,住宅
大华峰汇华城,杭州熙华房地产开发有限公司,在售,200-270万/套,住宅
如沐清晖城,杭州临安西子房地产开发有限公司,在售,157-270万/套,住宅
绿都中天云屿江月,杭州辉都置业有限公司,在售,160-180万/套,住宅
招商博奥花宸里,招商局地产（杭州）有限公司,待售,价格待定,商业类
杭州国际金融中心,杭州新汇东置业有限公司,待售,1080-1450万/套,住宅
地上衣锦上府,杭州地上房地产集团有限公司,待售,价格待定,住宅
严州云境府,杭州新城骏宏恒锦房地产开发有限公司,待售,价格待定,住宅
平高创业城,平高置业（杭州）有限公司,待售,价格待定,商业类
杭房启润学府,杭州启祥房地产开发有限公司,待售,价格待定,住宅
杭房富春山居湖著观邸,杭州市房地产开发集团有限公司,待售,价格待定,住宅
鲲鹏府,杭州浩都房地产开发有限公司,待售,价格待定,住宅
绿城西溪深蓝,浙江赛智建设有限公司,在售,130-270万/套,商业类
河映云集,杭州中海海跃房地产有限公司,待售,420-600万/套,住宅
建发缦云轩,杭州兆顺房地产有限公司,在售,1600万/套,写字楼
杭珹未来中心,杭州润汀商业地产有限公司,待售,36100元/㎡,住宅
保利都和轩,杭州保源置业有限公司,待售,330-488.4万/套,住宅
天溪半岛,富春江旅游度假区开发有限公司,在售,1000-1900万/套,别墅
绿都中天云屿江月,杭州辉都置业有限公司,在售,420万/套,别墅
月映星语园,杭州星桂置业有限公司,在售,240-334万/套,住宅
春题杭玥府,杭州瑞进合能房地产开发有限公司,在售,270万/套,底商
滨玺云著,杭州信尔置业有限公司,在售,396-498万/套,住宅
桐韵家园,杭州韵致科技有限公司,在售,120-222万/套,住宅
如沐清晖城,杭州临安西子房地产开发有限公司,在售,525-645万/套,别墅
中骏鼎湖未来云城,杭州骏熠置业有限公司,在售,307-541万/套,住宅
华城茶语华邸,杭州华城房地产开发有限公司,在售,270万/套,住宅
兴耀岚漫之城,杭州星淑置业有限公司,在售,192-260万/套,住宅
星创雅望居,杭州融琴置业有限公司,在售,266-356万/套,住宅
洺川名著,杭州弘熠房地产开发有限公司,待售,价格待定,住宅
银泰仙女湖小镇,杭州云石仙女湖置业有限公司,在售,价格待定,别墅
临之锦,杭州轩源实业有限公司,在售,250-380万/套,住宅
融信如澜,杭州融珏实业有限公司,待售,价格待定,住宅
望青府,杭州沃都房地产开发有限公司,待售,价格待定,住宅
耦贤里,杭冠置业（杭州）有限公司,待售,价格待定,住宅
耦贤里,杭冠置业（杭州）有限公司,待售,价格待定,别墅
湖语牧松,杭州鑫澜置业有限公司,在售,360-450万/套,别墅
雨润星雨华府三期,杭州众汇置业有限公司,在售,354-455万/套,别墅
岫町华庭,杭州英蓝置业有限公司,待售,价格待定,住宅
钱潮鸣翠云筑,杭州滨硕实业有限公司,待售,价格待定,写字楼
青西铭府,杭州大江东地产开发有限公司,待售,价格待定,住宅
华海园三期,浙江泛华房地产开发有限责任公司,在售,180-220万/套,商业类
杭辰星万里,杭州星雨置业有限公司,在售,120万/套,商业
华发峰荟荟天府,杭州铧安置业有限公司,在售,203-271万/套,住宅
广宇锦云里,杭州西宇房地产开发有限公司,在售,200-240万/套,住宅
古墩彩虹轩,杭州申源实业有限公司,待售,248万/套,住宅
德金中心,杭州骏兴置业有限公司,在售,800万/套,写字楼
海威领界,杭州弘威置业有限公司,在售,500万/套,商业
荣盛江荣府,杭州荣耀盛灏置业有限公司,在售,453-490万/套,住宅
圆尊府,杭州圆宁科技有限公司,在售,185-270万/套,住宅
新世界江明月朗园,杭州新蕴实业发展有限公司,待售,760.17-1180.67万/套,住宅
翠苑荟,杭州和高置业有限公司,在售,200-500万/套,商业类
世茂国风源赋,杭州茂荣房地产开发有限公司,在售,170-220万/套,住宅
