goods_id,goods_name,sales_tip,group_price
410568293444,【5人团】花牛苹果净重8斤脆甜甘肃天水苹果红蛇果苹果新鲜水果,已拼5.3万件,¥22.9
409272048614,【5人团】可口可乐330ml*24罐可乐/无糖可乐/芬达/雪碧碳酸饮料,已拼9.4万件,¥36.9
415857753649,三养超辣火鸡面140g*40袋整箱 韩国进口泡面拉面干拌面方便面批发,已拼6077件,¥171.9
314685107847,【5人团】长寿花玉米油4L非转基因一级物理压榨家用健康食用油,已拼4.5万件,¥52.9274933222532,【5人团】正宗奶油亚特奇异果5斤单果100g以上陕西绿心猕猴桃,已拼10万+件,¥13.9

399530979554,【3人团】希菲 2斤装5-8片原切上脑牛排0添加谷饲安格斯厚切牛排,已拼6174件,¥69.9
404716396146,【5人团】突尼斯软籽石榴5斤单果250g起当季四川会理新鲜孕妇水果,已拼10万+件,¥14.9
405541383641,【保税正品】Dassai獭祭39三割九分日本清酒纯米大吟酿1800ML礼盒,已拼638件,¥488.0
403657710488,【5人团】穗康糯玉米黄糯8支装单果220g非转基因零添加真空新鲜,已拼10万+件,¥16.5
159727666651,晓芹即食海参1500克40-60只大连辽刺参开袋即食无添加,已拼2263件,¥1011.8
527件,¥99.9
418053591187,【5人团】Lindt瑞士莲巧克力软心球500g黑巧牛奶意大利进口喜糖【3天内发货】,已拼1万件,¥42.5
392984714504,爱氏晨曦涂抹奶酪150g盒原味烘焙原料蛋糕三明治涂抹干酪芝士奶酪,已拼1886件,¥16.4
418117320874,【3人团】正宗金秋红蜜桃子脆桃5斤装单果155g以上新鲜应季水果,已拼7650件,¥19.9
410509250919,【5人团】澳农卡烟薯25号5斤单果150g起蜜薯新鲜番地瓜沙地超糖心,已拼7.2万件,¥13.9
412588738232,【5人团】山姆Members Mark芥末味夏威夷果仁500g非油炸坚果【3天内发货】,已拼4513件,¥99.9
158386862171,【好品质发好货】四川突尼斯软籽甜石榴孕妇新鲜应季水果现摘现,已拼9.6万件,¥21.9
401196385102,道道全 压榨玉米油5L非转基因物理压榨玉米油非转基因家用,已拼1442件,¥79.8
��件,¥149.0
412593643523,【5人团】山姆Members Mark苏打饼干1.5kg咸味无糖精休闲零点心【3天内发货】,已拼6470件,¥29.0
392684767719,【5人团】泸州老窖特曲52度500ml中华老字号浓香型纯粮食高端白酒,已拼1603件,¥223.5
413626473207,【5人团】娃哈哈桂圆莲子八宝粥280g*12罐整箱娃哈哈八宝粥整箱,已拼2.4万件,¥26.9
415952702629,【5人团】山西运城克伦生无籽红提净重3斤顺丰包邮葡萄当季水果,已拼2.7万件,¥21.9
418248177513,【5人团】寰球渔市海捕大虾白虾整盒带冰4斤装盐冻野生超大虾鲜虾,已拼3092件,¥84.9
415216710384,【5人团】自嗨锅自热米饭4盒装宿舍学生党整箱盖浇饭自加热速食,已拼1.6万件,¥22.3
410909136262,【5人团】脉动青柠桃子雪柚橘子400ML*15瓶维生素运动功能饮料,已拼3.5万件,¥27.9
1567535,【现杀发货】陇上刘叔叔 深山跑山羊肉20斤新鲜半只深山放养批发,已拼2275件,¥822.0
157129847921,【5人团】娃哈哈AD钙奶饮料100g*24瓶整箱哇哈哈早餐饮品ad钙,已拼9.1万件,¥15.8
413393761091,【5人团】山姆Members Mark 烘烤坚果1.1KG非油炸原味果仁罐装【3天内发货】,已拼2万件,¥85.9
403237148482,胡姬花古法土榨风味花生油4L小榨浓香压榨炒菜家用批发旗舰店,已拼641件,¥102.9
69034701,江西特产正宗春丝江西米粉4斤炒米粉米线螺蛳粉汤粉拌粉都可做,已拼5.4万件,¥17.6
192938035928,白象方便面16袋装多半袋重庆小面原汁猪骨红烧牛肉一袋半泡面批发,已拼8460件,¥35.2
268597405795,佰多力橄榄进口食用油500ml原装橄榄果渣油炒菜纯正健身榄橄油,已拼10万+件,¥19.8
416958969366,【5人团】贵州习酒 窖藏1988 53度酱香型白酒 500ml单瓶礼盒装,已拼1646件,¥488.0
407828378537,【新品】Tims冻干咖啡速溶美式黑咖啡粉冷萃即溶浓缩咖啡2克*12颗,已拼4186件,¥57.8
370215124589,康师傅冰红茶330ml*12瓶装整箱青梅绿茶蜜桃乌龙果汁饮料夏天必备,已拼1.9万件,¥16.5
