job_name,position,diploma,company_name,company_size,company_type,salary
编辑岗(国际传播方向),北京,本科,央视国际网络有限公司,1000-9999人,国企,8千-1.5万
管理会计师,北京,本科,中矿资源集团股份有限公司,500-999人,上市公司,1万-2万
财务数据分析师,北京,本科,北京靖川科技有限公司,20人以下,,8千-1.2万
人才发展专员,北京,本科,正大集团,10000人以上,外商独资,8千-1万
空气质量数据分析师（北京）,北京,硕士,广东旭诚科技有限公司,100-299人,民营,8千-1.2万
生信数据分析（北京）,北京,硕士,北京中科生信生物科技有限公司,100-299人,,1.2万-1.5万
研发工程师（结合方向）,北京,硕士,北京科兴中维生物技术有限公司,1000-9999人,合资,1.2万-1.8万
材料分析员,北京,本科,海博浩(深圳)贸易有限公司,20-99人,民营,7千-9千
JAVA软件开发工程师(军民融合方向),北京,本科,北京太极联睿科技发展有限公司,20-99人,股份制企业,5千-9千
初级数据质量工程师（qa）,北京,本科,中国软件,10000人以上,上市公司,6千-1.2万
交通大数据建模与分析挖掘岗,北京,硕士,北京交研都市交通科技有限公司,20-99人,其它,8千-1.2万
纯化工程师（菌苗方向）,北京,硕士,北京科兴中维生物技术有限公司,1000-9999人,合资,1.2万-1.8万
生物统计/编程/数据管理等,北京,本科,上海沛生企业管理中心,20-99人,合资,3万-6万
物流专员,北京,本科,正大集团,10000人以上,外商独资,8千-1万
MCN运营,北京,本科,北京大陆桥文化传媒股份有限公司,100-299人,股份制企业,1万-1.5万
统计分析程序员 / 高级统计分析程序员,北京,硕士,诺思格(北京)医药科技股份有限公司,1000-9999人,合资,9千-1.2万
科研助理-硬件\通信硬件\信号处理工程师,北京,本科,中国人民解放军军事科学院国防科技创新研究院,1000-9999人,其它,1.5万-3万
2023届投资管理岗,全国,硕士,中交四航局,1000-9999人,国企,8千-1万
初级研发工程师,北京,硕士,国网信通产业集团,1000-9999人,国企,面议
J18847-2023校招-叶片结构工程师（研发）,北京,硕士,金风科技,10000人以上,民营,面议
数字化运营,北京,本科,中国联通,10000人以上,国企,面议
工艺整合工程师,北京,硕士,燕东微电子,1000-9999人,国企,1.2万-1.5万
行业研究员,全国,硕士,兴银理财,500-999人,股份制企业,面议
标准数据分析师,北京,硕士,航空工业综合所,1000-9999人,其它,面议
J18939-2023校招-可靠性工程师（研发）,北京,硕士,金风科技,10000人以上,民营,面议
网络建设规划及技术支撑,北京,硕士,中国联通,10000人以上,国企,面议
数据分析工程师（北京）,北京,硕士,华锐风电,500-999人,民营,面议
数据开发工程师,北京,硕士,兵器装备208所,1000-9999人,国企,面议
数据分析工程师,北京,硕士,航空工业综合所,1000-9999人,其它,面议
金融科技岗,全国,硕士,兴银理财,500-999人,股份制企业,面议
工业互联网研究岗,北京,硕士,中国联通,10000人以上,国企,面议
数据分析工程师（博士优先）,北京,硕士,北京海博思创科技股份有限公司,500-999人,民营,1.5万-2.5万
测试工程师,北京,本科,华锐风电,500-999人,民营,面议
防护产品研发工程师,北京,硕士,兵器装备208所,1000-9999人,国企,面议
质量数据应用工程师,北京,硕士,航空工业综合所,1000-9999人,其它,面议
运营商经营发展研究岗,北京,硕士,中国联通,10000人以上,国企,面议
热管理工程师,北京,硕士,北京海博思创科技股份有限公司,500-999人,民营,1.2万-2万
数据科学家,北京,硕士,亚信科技,1000-9999人,民营,面议
工艺开发岗,北京,学历不限,国氢科技,1000-9999人,国企,面议
22届优先/底薪8500-11000+提成3-30%/客户服务,北京,本科,丽兹行,1000-9999人,民营,1万-1.5万
网络行业应用研究,北京,博士,中国联通,10000人以上,国企,面议
债券投资经理助理,全国,硕士,兴银理财,500-999人,股份制企业,面议
运营策划,北京,本科,卓望数码,1000-9999人,国企,面议
人工智能算法工程师,北京,硕士,兵器装备208所,1000-9999人,国企,面议
数据治理工程师,北京,硕士,航空工业综合所,1000-9999人,其它,面议
大数据领域博士后,北京,博士,中国联通,10000人以上,国企,面议
产品验证工程师（电池方向，博士优先）,北京,硕士,北京海博思创科技股份有限公司,500-999人,民营,1.2万-2万
校招—数据分析师(J10262),北京,硕士,北京牡丹电子集团有限责任公司,500-999人,国企,8千-1.3万
管培生,北京,本科,智联招聘,1000-9999人,其它,7千-1万
销售顾问/晋升快/无责底薪8500-11000,北京,本科,丽兹行,1000-9999人,民营,1.1万-1.5万
Exp. BI Specialist(007RRN),北京,本科,施耐德电气（中国）有限公司,1000-9999人,外商独资,面议
数据分析工程师（项目部）,北京,本科,北京大数据先进技术研究院,100-299人,事业单位,1.5万-3万
统计分析助理,北京,硕士,普米斯生物技术(珠海)有限公司,300-499人,外商独资,8千-1.1万
数据分析师 (MJ000793),北京,本科,中信百信银行股份有限公司,100-299人,银行,面议
销售代表/底薪8500起+提成/提供住宿,北京,本科,丽兹行,1000-9999人,民营,1万-1.3万
📣1000元房补 | 应届生优先🦋不限经验🦋｜销售数据分析,北京,大专,麦田房产,10000人以上,民营,9千-1.5万
运动控制-数据分析研究员,北京,硕士,ABB,10000人以上,外商独资,面议
风控数据分析师（44255）,北京,本科,汽车之家,1000-9999人,民营,2万-3万
大数据情报分析工程师,北京,硕士,公安部第一研究所,1000-9999人,事业单位,2万-2.5万
房产经纪人/底薪8500-11000+提成3-30%,北京,本科,丽兹行,1000-9999人,民营,8千-1.1万
数据分析,北京,大专,财新联合汽车租赁（北京）有限公司,100-299人,民营,6千-8千
数据技术岗,北京,本科,北京金融大数据有限公司,20-99人,国企,4万-6.5万
数据分析师,北京,本科,中科遥感(西安)科技有限公司,20-99人,股份制企业,1.5万-3万
金融数据分析助理,北京,大专,北京首建同创投资管理有限公司,,,1万-1.5万
数据分析师实习生,北京,大专,中科金审,300-499人,民营,3千-4千
数据分析师,北京,本科,北京中兵数字科技集团有限公司,100-299人,民营,5千-1万
抖店运营,北京,大专,北京易汇科创科技集团有限公司,100-299人,民营,8千-1.2万
数据分析（数仓，大数据）,北京,本科,北京久其软件股份有限公司,1000-9999人,上市公司,8千-1.5万
（23届校园招聘）数据分析师,北京,本科,彩讯科技,1000-9999人,民营,8千-1.5万
大数据开发工程师,北京,本科,央视国际网络有限公司,1000-9999人,国企,1.5万-2.3万
数据分析员,北京,本科,北京鑫澜途科技服务有限公司,20-99人,民营,6千-1万
数据分析专员 可解决北京户口,北京,硕士,喀斯玛(北京)科技有限公司,100-299人,国企,8千-1万
2023届校招-数据分析助理工程师（服务中心）(J19177),北京,硕士,金风科技股份有限公司,1000-9999人,股份制企业,1.6万-2.3万
数据分析工程师,北京,本科,悦享雄安科技有限公司,20-99人,国企,1.5万-2万
销售/底薪8500-11000+高提成+公司提供资源,北京,本科,丽兹行,1000-9999人,民营,9千-1.6万
数据运营（23年应届）,北京,硕士,北纬通信,1000-9999人,上市公司,8千-1.2万
金融数据分析师1 五险一金弹性坐班制,北京,大专,中创博远(北京)投资顾问有限公司,300-499人,民营,1.6万-2.5万
商业数据分析师,北京,本科,机侠客电子科技(深圳)有限责任公司,20-99人,民营,9千-1.5万
豪宅顾问/工作氛围好,北京,本科,丽兹行,1000-9999人,民营,1.3万-1.6万
急聘文职客服专员,北京,中专/中技,北京大通佳信汽车销售服务有限公司,100-299人,民营,6千-7千
京东pop/天猫店铺运营主管,北京,大专,柏瑞润兴(北京)科技发展有限公司,300-499人,民营,1万-1.5万
测绘工程师,全国,本科,中国铁建,10000人以上,国企,面议
商业数据分析师,北京,本科,机侠客电子科技(深圳)有限责任公司,20-99人,民营,9千-1.5万
销售督导一对一师徒制/底薪8500-11000,北京,本科,丽兹行,1000-9999人,民营,1.4万-1.8万
数据分析师助理,北京,本科,首金中泰(北京)互联网科技有限公司,20-99人,股份制企业,7千-1万
业务研究,北京,本科,国务院发展研究中心国际技术经济研究所,20-99人,事业单位,9千-1.8万
测绘工程师,全国,本科,中国铁建,10000人以上,国企,面议
商业数据分析师,北京,本科,机侠客电子科技(深圳)有限责任公司,20-99人,民营,9千-1.5万
大客户销售代表/底薪8500-11000+3-30%提成/带薪培训,北京,本科,丽兹行,1000-9999人,民营,9千-1.4万
数据分析师(J27260),北京,本科,北京五八信息技术有限公司,10000人以上,合资,1.5万-2.5万
商务助理/专员,北京,大专,北京一砂信息技术有限公司,20-99人,民营,6千-1.2万
测绘工程师,全国,本科,中国铁建,10000人以上,国企,面议
数据分析-甘家口,北京,本科,北京融通润园科技有限公司,100-299人,民营,5千-7千
销售咨询师,北京,本科,丽兹行,1000-9999人,民营,9千-1.3万
助理,北京,本科,北京千喜鹤科技服务有限公司,1000-9999人,,6千-1万
数据统计员,北京,本科,北京乐普诊断科技股份有限公司,500-999人,上市公司,6千-8千
测绘工程师,全国,本科,中国铁建,10000人以上,国企,面议
数据分析,北京,本科,北京伊顿国际,1000-9999人,外商独资,1.1万-2万
豪宅顾问/不限经验/团队氛围好,北京,本科,丽兹行,1000-9999人,民营,1.4万-1.9万
社交媒体实习生-小红书+微博 ID121757,北京,本科,Nestle China/雀巢(中国),10000人以上,外商独资,6千-1万
认知专委会专职助理,北京,硕士,北京师范大学中国基础教育质量监测协同创新中心,100-299人,事业单位,7千-1万
测绘工程师,全国,本科,中国铁建,10000人以上,国企,面议
数据建模分析师（高级、中级）,北京,本科,全国海关信息中心,100-299人,事业单位,1万-1.8万
豪宅销售代表/底薪8500-11000/带薪培训,北京,本科,丽兹行,1000-9999人,民营,1.4万-2.3万
交易助理,北京,硕士,国联证券,1000-9999人,股份制企业,面议
大气数值模式研发工程师 （数据分析方向）,北京,硕士,中科星图,1000-9999人,上市公司,面议
运营督导,北京,本科,科锐国际,1000-9999人,上市公司,9千-1.2万
急聘/豪宅服务/底薪8500-11000+提成3-30%,北京,本科,丽兹行,1000-9999人,民营,1.1万-1.6万
管理会计,北京,本科,京北方,10000人以上,民营,1.2万-1.5万
研发中心/MEMS技术研究室-MEMS陀螺/MEMS加速度计电路设计,北京,博士,航天十三所,1000-9999人,国企,面议
数据分析岗-业务经营部,北京,大专,北京同仁堂科技发展股份有限公司制药厂,1000-9999人,国企,8千-1.3万
测绘工程师,全国,本科,中国铁建,10000人以上,国企,面议
场外交易员/场外交易助理,北京,硕士,国联证券,1000-9999人,股份制企业,面议
职能类岗位,全国,本科,中建八局二公司,10000人以上,国企,8千-1.2万
云平台开发,北京,硕士,航天物联网技术有限公司,500-999人,国企,面议
销售储备管理/底薪8500-11000+提成/22届优先,北京,本科,丽兹行,1000-9999人,民营,1.1万-1.7万
研发中心/微系统技术研究室-产品总体设计,北京,硕士,航天十三所,1000-9999人,国企,面议
财务管理岗位,全国,学历不限,中铁十局,10000人以上,国企,7千-9千
FOF投资助理,北京,硕士,国联证券,1000-9999人,股份制企业,面议
自智网络核心网工作台研发工程师,北京,硕士,中国移动总部网络事业部,1000-9999人,国企,面议
顾问/底薪8500-11000+提成3-30%+宿舍,北京,本科,丽兹行,1000-9999人,民营,1万-1.5万
财务管理岗,全国,本科,绝味食品,1000-9999人,上市公司,面议
【2023】融资融券业务岗(J15591),北京,硕士,中国中金财富证券,1000-9999人,其它,面议
机构销售岗,北京,硕士,国联证券,1000-9999人,股份制企业,面议
