rank,title,detail_url,img_url,rating_num,comment_num,quote
61,搏击俱乐部,https://movie.douban.com/subject/1292000/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg,9.0,758205人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
62,饮食男女,https://movie.douban.com/subject/1291818/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,9.2,540689人评价,人生不能像做菜，把所有的料都准备好了才下锅。
63,美丽心灵,https://movie.douban.com/subject/1306029/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,9.1,683151人评价,爱是一切逻辑和原由。
64,本杰明·巴顿奇事,https://movie.douban.com/subject/1485260/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,9.0,879200人评价,在时间之河里感受溺水之苦。
65,窃听风暴,https://movie.douban.com/subject/1900841/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,9.2,501807人评价,别样人生。
66,情书,https://movie.douban.com/subject/1292220/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2648230660.jpg,8.9,952104人评价,暗恋的极致。
67,两杆大烟枪,https://movie.douban.com/subject/1293350/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,9.1,537188人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
68,穿条纹睡衣的男孩,https://movie.douban.com/subject/3008247/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg,9.2,480335人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
69,西西里的美丽传说,https://movie.douban.com/subject/1292402/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg,8.9,872178人评价,美丽无罪。
70,看不见的客人,https://movie.douban.com/subject/26580232/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,8.8,1107802人评价,你以为你以为的就是你以为的。
71,拯救大兵瑞恩,https://movie.douban.com/subject/1292849/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,9.1,578482人评价,美利坚精神输出大片No1.
72,飞越疯人院,https://movie.douban.com/subject/1292224/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,9.1,500646人评价,自由万岁。
73,音乐之声,https://movie.douban.com/subject/1294408/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg,9.1,535129人评价,用音乐化解仇恨，让歌声串起美好。
74,小鞋子,https://movie.douban.com/subject/1303021/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg,9.2,363559人评价,奔跑的孩子是天使。
75,阿凡达,https://movie.douban.com/subject/1652587/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2634997853.jpg,8.8,1243842人评价,绝对意义上的美轮美奂。
76,海豚湾,https://movie.douban.com/subject/3442220/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg,9.3,331033人评价,海豚的微笑，是世界上最高明的伪装。
77,哈利·波特与死亡圣器(下),https://movie.douban.com/subject/3011235/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg,8.9,721963人评价,10年的完美句点。
78,沉默的羔羊,https://movie.douban.com/subject/1293544/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,8.9,778551人评价,安东尼·霍普金斯的顶级表演。
79,致命魔术,https://movie.douban.com/subject/1780330/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,8.9,766216人评价,孪生蝙蝠侠大战克隆金刚狼。
80,禁闭岛,https://movie.douban.com/subject/2334904/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450262388.jpg,8.8,857156人评价,昔日翩翩少年，今日大腹便便。
81,美国往事,https://movie.douban.com/subject/1292262/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,9.2,368046人评价,往事如烟，无处祭奠。
82,布达佩斯大饭店,https://movie.douban.com/subject/11525673/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg,8.9,809107人评价,小清新的故事里注入了大历史的情怀。
83,蝴蝶效应,https://movie.douban.com/subject/1292343/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,8.8,834450人评价,人的命运被自己瞬间的抉择改变。
84,心灵捕手,https://movie.douban.com/subject/1292656/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,8.9,631108人评价,人生中应该拥有这样的一段豁然开朗。
85,低俗小说,https://movie.douban.com/subject/1291832/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg,8.9,741090人评价,故事的高级讲法。
86,春光乍泄,https://movie.douban.com/subject/1292679/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,9.0,558799人评价,爱情纠缠，男女一致。
87,摩登时代,https://movie.douban.com/subject/1294371/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg,9.3,263206人评价,大时代中的人生，小人物的悲喜。
88,七宗罪,https://movie.douban.com/subject/1292223/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.jpg,8.8,854638人评价,警察抓小偷，老鼠玩死猫。
89,喜剧之王,https://movie.douban.com/subject/1302425/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg,8.8,859196人评价,我是一个演员。
90,致命ID,https://movie.douban.com/subject/1297192/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg,8.8,722158人评价,最不可能的那个人永远是最可能的。
91,杀人回忆,https://movie.douban.com/subject/1300299/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1633113220.jpg,8.9,615909人评价,关于连环杀人悬案的集体回忆。
92,被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg,8.9,642507人评价,以戏谑来戏谑戏谑。
93,加勒比海盗,https://movie.douban.com/subject/1298070/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg,8.8,769339人评价,约翰尼·德普的独角戏。
94,功夫,https://movie.douban.com/subject/1291543/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg,8.7,952044人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
95,红辣椒,https://movie.douban.com/subject/1865703/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456825720.jpg,9.0,390551人评价,梦的勾结。
96,哈利·波特与阿兹卡班的囚徒,https://movie.douban.com/subject/1291544/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910812549.jpg,8.9,607944人评价,不一样的导演，不一样的哈利·波特。
