jobName,position,company_name,company_size,company_type,salary
数据分析方向项目助理,北京-朝阳,致同会计师事务所,1000-9999人,民营,6千-8千
数据分析师（招收实习生和助理）,杭州-钱塘,江西梦谷网络科技有限公司,100-299人,股份制企业,1万-1.5万· 13薪
财务数据分析助理,苏州,苏州正雄企业发展有限公司,1000-9999人,外商独资,7千-1万
数据分析师（接受助理和实习生）,杭州-萧山,江西梦谷网络科技有限公司,100-299人,股份制企业,1.1万-1.6万· 13薪
销售（数据分析）助理,洛阳-西工,宁波方太营销有限公司洛阳售后服务分公司,100-299人,民营,5千-8千
IE助理（数据分析员）,嘉兴-桐乡市,亘美集团有限公司,1000-9999人,民营,4千-6千
懂数据分析的外协管理助理,北京-西城,彩讯科技,1000-9999人,民营,7千-9千
数据分析师助理,株洲-天元区,北京景诗科技有限公司,20-99人,,7千-9千
董事长助理（大数据分析及投资-新能源、医养）,郑州,河南梅隆建设发展有限公司,500-999人,民营,2.5万-3万
数据分析助理,苏州-虎丘,苏州遥遥在望科技有限公司,20-99人,民营,5千-8千
数据分析师（接受助理和实习生）,杭州-西湖,江西梦谷网络科技有限公司,100-299人,股份制企业,1.1万-1.6万· 13薪
人事助理-数据分析,北京-朝阳,北京银丰新融科技开发有限公司,1000-9999人,民营,4千-7千
数据分析师助理,漯河-源汇区,北京惟思瑞科技有限公司,20-99人,民营,7千-9千
数据分析师助理,长沙-雨花,北京景诗科技有限公司,20-99人,,7千-9千
数据分析师助理,鹤壁-淇滨区,北京惟思瑞科技有限公司,20-99人,民营,7千-9千
数据分析实习生,长沙,湖南鸿通投资管理有限公司,20人以下,民营,80-160/天
数据分析助理,扬州-江都区,嘉宇网络技术(深圳)有限公司,100-299人,其它,9千-1万· 13薪
数据分析师助理,许昌-魏都区,北京惟思瑞科技有限公司,20-99人,民营,7千-9千
数据分析,长沙-雨花,深圳出海一叮科技有限公司,20-99人,民营,4千-8千
数据分析助理（周末双休）,武汉-武昌,湖北抖赢大数据科技有限公司,20-99人,,4千-8千· 13薪
数据分析技术助理,无锡-江阴,福村宝医疗科技有限公司,100-299人,民营,1万-1.3万· 13薪
数据分析师助理,郑州-惠济,海口食味和牛供应链有限公司-郑州分公司,20人以下,其它,6千-8千
绩效专员,长沙-岳麓,兴盛优选,10000人以上,民营,7千-1万
数据分析师助理,北京-丰台,北京华创嘉盛投资咨询有限公司,100-299人,民营,8千-1.5万
数据分析助理+五险一金,武汉-洪山,武汉晋云互动网络科技有限公司,20-99人,民营,4千-8千· 13薪
采购数据分析,郑州,郑州大小孩企业管理咨询有限公司,100-299人,民营,4千-6千
数据分析助理（周末双休）,武汉,中龙网络科技有限公司,100-299人,民营,5千-7千
数据分析,郑州-中原,许昌龙祁电子商务有限公司郑州分公司,100-299人,民营,4千-8千
运营助理（数据分析方向）,南京-建邺,深圳高邦信息技术有限公司,20-99人,民营,1.3万-1.4万
助理数据分析师,武汉-武昌,北京思迈特科技有限公司,20-99人,民营,5千-1万
人力资源专员（人资规划 或 数据分析方向）,郑州-航空港区,富士康科技集团,1000-9999人,其它,8千-1.5万
张雪峰团队考研咨询师,郑州-管城,苏州研途教育科技有限公司,100-299人,民营,1万-1.5万
数据分析师助理,黄石-下陆区,北京景诗科技有限公司,20-99人,,7千-9千
高级顾问,郑州,苏州研途教育科技有限公司,100-299人,民营,7千-1.4万
考研咨询师,郑州,苏州研途教育科技有限公司,100-299人,民营,1万-2万
招生顾问【五险一金+房补+管餐】,郑州-管城,苏州研途教育科技有限公司,100-299人,民营,1.1万-1.5万
跨境电商数据分析,常州,江苏虫洞电子商务有限公司,100-299人,民营,6千-1万
采销数据分析师（高管助理）,北京-朝阳,北京运通时泰科技有限公司,500-999人,民营,1.5万-2万· 13薪
数据分析师助理,武汉-洪山,北京景诗科技有限公司,20-99人,,7千-9千
数据分析助理,深圳-南山,武汉鑫极仪数据科技有限公司,100-299人,民营,6千-1.2万
销售助理文员,苏州-昆山,先科精密组件(昆山)有限公司,20-99人,民营,4千-7千
数据分析师助理,十堰-茅箭区,北京景诗科技有限公司,20-99人,,7千-9千
数据分析师助理（无经验）,深圳-宝安,深圳市慧云数据服务有限公司,100-299人,其它,5千-1万· 13薪
数据分析师助理,武汉-洪山,奥卡数娱(武汉)网络科技有限公司,,,8千-1万· 13薪
零售信贷部-数据分析助理,深圳-福田,深圳中南人才集团有限公司,1000-9999人,国企,8千-1.1万
数据文员,常州-钟楼,常州前创网络科技有限公司,100-299人,民营,3千-5千
课程顾问【入职五险一金+工作餐】,郑州-管城,苏州研途教育科技有限公司,100-299人,民营,1万-1.5万
数据分析助理,海口-龙华,深圳蛮趣生科技有限公司,100-299人,民营,8千-1.3万
客服/助理,武汉-江汉,武汉唯视眼镜有限公司,20-99人,民营,4千-6千
数据分析师助理,北京-朝阳,北京首建同创投资管理有限公司,,,8千-1万
数据分析助理,深圳-宝安,深圳海蓝鲸电子商务有限公司,20-99人,,7千-1万· 13薪
BI商业数据分析课程/培训招生武汉,武汉-武昌,51Testing,100-299人,民营,8千-1.2万
项目管理与数据分析（派驻电信）,海口-美兰,海南电信规划设计院有限公司,500-999人,国企,4千-6千
BI商业数据分析课程NJ/培训招生,南京-秦淮,51Testing,100-299人,民营,9千-1.1万· 13薪
数据分析助理,广州-越秀,深圳迎轩信息科技有限公司,20-99人,民营,6千-1.2万
销售内勤（数据分析）,南京-栖霞,南京中山制药有限公司,100-299人,国企,8千-9千
数据分析助理双休（接受无经验）,深圳-宝安,深圳市思兴达科技有限公司,100-299人,,6千-9千· 13薪
办公室文职,武汉-江夏,旭盈(武汉)科技有限公司,20人以下,民营,150-200/天
人事助理（数据分析岗）,北京-朝阳,北京银丰新融科技开发有限公司,1000-9999人,民营,4千-6千
金融数据分析助理,深圳-宝安,深圳杰么厉害科技有限公司,20-99人,民营,8千-1万· 13薪
电商客服专员,武汉-洪山,武汉市新新传媒集团有限公司,300-499人,民营,4千-6千
高级数据分析助理(社保+包吃),佛山-南海,何氏蹦蹦鱼(广州)生态渔业开发有限公司,300-499人,民营,7千-1万
销售助理,无锡-惠山,无锡江南奕帆电力传动科技股份有限公司,300-499人,上市公司,4千-6千
数据分析助理,深圳-龙华,网联云区块链技术(深圳)有限公司,100-299人,民营,5千-8千
数据分析师助理,北京-丰台,北京华创嘉盛投资咨询有限公司,100-299人,民营,8千-1.5万
数据分析助理 （SQL）双休 过节费、年终奖,深圳-福田,深圳中南人才集团有限公司,1000-9999人,国企,8千-1.1万
销售助理-数据分析方向,北京,北京七星华创,100-299人,国企,8千-1.2万
金融数据分析助理（底薪4500+双休+五险一金）,广州-越秀,广东合顺投资控股有限公司,20-99人,民营,8千-1.2万
数据分析助理（品牌部）,汕头-龙湖区,懒角落,100-299人,民营,4千-5千
营销数据分析助理 (MJ003779),贵阳-云岩,嘉士伯(中国)啤酒工贸有限公司,1000-9999人,外商独资,5千-7千
零售信贷部-数据分析助理,深圳-福田,深圳中南人才集团有限公司,1000-9999人,国企,8千-1.1万
大数据分析助理,贵阳-云岩,贵州黔根杉目科技有限公司,300-499人,民营,6千-8千· 13薪
双休数据分析助理\实习,深圳-福田,奥卡数娱(武汉)网络科技有限公司,,,8千-1.4万
数据分析助理,重庆,初灵信息,500-999人,上市公司,5千-1万· 13薪
电商数据分析助理（14薪）,广州-白云,广州雪福科技信息有限公司,100-299人,民营,9千-1.1万
（助理）数据分析师,贵阳-观山湖,贵州省创敢科技有限责任公司,20人以下,其它,7千-1.1万
数据分析助理,深圳-南山,深圳市花依尚网络有限公司,100-299人,其它,4千-7千
数据分析师（助理）,贵阳-观山湖,贵州省创敢科技有限责任公司,20人以下,其它,6千-8千
数据分析助理,深圳-宝安,深圳市驰信通文化传播有限公司,20-99人,民营,6千-1.2万
数据分析师助理,贵阳,贵州泰玛科技有限公司,20人以下,,6千-8千
双休/数据分析助理,深圳-福田,深圳市百数科技有限公司,100-299人,民营,8千-1.5万· 13薪
数据分析助理,深圳-南山,深圳中科睿志科技有限公司,100-299人,民营,7千-1.2万· 13薪
数据分析助理,深圳-宝安,深圳杰么厉害科技有限公司,20-99人,民营,7千-1万· 13薪
数据分析助理,成都-武侯,成都德宸锦睿科技有限公司,20-99人,民营,4千-6千
大数据分析助理,南宁-青秀,贵州黔根杉目科技有限公司,300-499人,民营,6千-8千· 13薪
数据分析助理（电子数据取证方向）,成都-武侯,四川旭日司法鉴定中心,20-99人,其它,5千-8千
（助理）数据分析师,南宁-西乡塘,贵州省创敢科技有限责任公司,20人以下,其它,6千-9千
数据分析助理,成都-武侯,成都又见青纭科技有限公司,20-99人,,4千-7千
数据分析助理,成都-武侯,成都凯图锐网络科技有限公司,20-99人,,4千-6千
大数据分析师助理,兰州-城关区,北京慰鑫科技有限公司,20-99人,民营,8千-1.2万
大数据分析助理,成都-武侯,成都新钦淘网络科技有限公司,20-99人,,5千-1万· 13薪
招投标专员,桂林-七星区,桂林云璟科技有限公司,100-299人,民营,4千-6千· 13薪
大数据分析师助理,兰州-城关区,北京慰鑫科技有限公司,20-99人,民营,8千-1.2万
计划专员,南宁-西乡塘,海普诺凯生物科技有限公司,500-999人,上市公司,6千-8千· 14薪
大数据分析师助理,兰州-城关区,北京智动数联科技有限公司,20-99人,民营,8千-1.2万
销售助理 数据分析,成都-武侯,PepsiCo百事（中国）有限公司,1000-9999人,外商独资,6千-8千
大数据分析师助理,临夏-临夏市,北京先烽科技有限公司,20-99人,民营,8千-1.2万
BI数据分析师助理,成都-武侯,四川中旭智汇科技有限公司,20-99人,股份制企业,6千-8千
数据分析专员,兰州-城关区,北京麦克斯泰科技有限公司,100-299人,民营,3千-5千· 13薪
助理数据分析师,成都-武侯,成都澳仁商务信息咨询有限公司,,,5千-6千
人力数据分析,成都,捷普科技(成都)有限公司,10000人以上,外商独资,6千-8千· 13薪
大数据工程师-专利方向,成都-双流,苏州七星天专利运营管理有限责任公司,20-99人,合资,7千-1.2万
业务数据分析,成都-双流,深圳市百数科技有限公司,100-299人,民营,6千-9千
汽车销售内勤（数据分析）,成都-成华,成都建国汽车贸易有限公司,10000人以上,合资,4千-6千
销售助理,成都-武侯,济南荣泉生物科技有限公司,20-99人,股份制企业,4千-6千
数据分析助理,西安-阎良,深圳中科睿志科技有限公司,100-299人,民营,7千-1.2万· 13薪
数据分析助理,西安,陕西暖得力热力设备科技有限公司,20-99人,民营,7千-8千
数据分析助理,西安-雁塔,西安恒创金信网络科技有限公司,20-99人,民营,5千-7千
数据分析助理,西安-雁塔,西安恒创金信网络科技有限公司,20-99人,民营,5千-7千
大数据分析师助理,西安-碑林,北京欣森梦邦科技有限公司,20人以下,,8千-1.2万
数据分析专员/助理,西安-未央,深圳市汇陇科技有限公司,20-99人,民营,8千-1万
大数据分析师助理,西安-未央,北京智动数联科技有限公司,20-99人,民营,8千-1.2万
数据分析师助理,西安-莲湖,西安书山悦云科技有限公司,20-99人,民营,4千-5千
数据分析师,西安,陕西海天珅机械制造有限公司,20-99人,民营,6千-8千
ALC助理,银川-金凤区,大润发(华中区)总部,1000-9999人,外商独资,2千-3千
数据分析实习生,西安-雁塔,西安云信众智信息技术有限公司,20-99人,民营,4千-8千
