jobName,position,company_name,company_size,company_type,salary
管培生+底薪8k+数据分析+带薪培训,上海-静安,德佑房地产经纪有限公司第一千一百九十五分公司,10000人以上 ,民营 ,1.5万-3万
数据分析工程师-2023（上海南京）,上海-徐汇,经纬恒润,1000-9999人 ,民营 ,1万-2万
美股 H股500强企，数据分析的问题方案专家,上海-徐汇,上海链家地产,10000人以上 ,民营 ,1.2万-1.8万
大数据分析工程师,上海-浦东,爱谱华顿,1000-9999人 ,合资 ,1万-2万
高级数据分析专员,上海-浦东,上海浦东发展银行信用卡中心,1000-9999人 ,股份制企业 ,1万-1.8万
数据分析开发工程师,上海-浦东,通联金融,300-499人 ,合资 ,1.5万-3万
中高级数据分析-非外包-朝九晚五,上海-浦东,深圳南区人瑞人力资源服务有限公司,10000人以上 ,上市公司 ,1.4万-1.8万
比邻商务区，人气足+不动产综合销售，数据分析+五险一金,上海-徐汇,上海链家地产,10000人以上 ,民营 ,8千-1.6万
数据分析（数据政策）,上海-黄浦,厦门象屿金象融资租赁有限公司,100-299人 ,国企 ,1.8万-3万
瑞典汽车品牌—数据分析专员,上海-虹口,上海中智项目外包咨询服务有限公司,1000-9999人 ,国企 ,1.2万-1.5万
汽车数据分析工程师,上海-嘉定,上海机动车检测认证技术研究中心有限公司,500-999人 ,国企 ,2万-3.5万
BI商业数据分析课程上海/培训招生,上海-黄浦,51Testing,100-299人 ,民营 ,8千-1.2万
数据分析开发工程师（双休+餐补）,上海-浦东,深圳市德科信息技术有限公司,1000-9999人 ,股份制企业 ,1.5万-2.3万
数据分析项目助理,上海-静安,上海同界数据科技股份有限公司,20-99人 ,民营 ,7千-9千
数据分析,上海-浦东,壬鼎实业(上海)有限公司,300-499人 ,合资 ,8千-1万
数据分析,上海-徐汇,上海库智信息科技有限公司,100-299人 ,外商独资 ,8千-1万
数据分析,上海-静安,东浩人力资源,100-299人 ,国企 ,1.2万-1.5万
数据分析助理,上海-浦东,深圳市千凌源科技有限公司,100-299人 ,民营 ,6千-8千
数据分析助理,上海-徐汇,上海思勃商务咨询有限公司,20-99人 ,民营 ,6千-8千
数据分析,上海-浦东,平安金服,1000-9999人 ,股份制企业 ,6千-8千
数据分析,上海-浦东,深圳南区人瑞人力资源服务有限公司,10000人以上 ,上市公司 ,1万-1.5万
数据分析,上海-长宁,科锐国际,1000-9999人 ,合资 ,6千-7千
数据分析,上海-浦东,智联猎头,1000-9999人 ,上市公司 ,1万-1.8万
数据分析,上海-杨浦,上海我爱我家,10000人以上 ,上市公司 ,1.5万-3万
数据分析,上海,上海祯鼎商贸有限公司,20-99人 ,民营 ,1.5万-1.6万
数据分析研究员,上海-长宁,上海卓专管理咨询有限公司,20人以下 ,股份制企业 ,8千-1万
数据分析专员,上海-静安,上海恩斯凯轴承有限公司,300-499人 ,民营 ,8千-1.2万
经营数据分析,上海-浦东,平安金服,1000-9999人 ,股份制企业 ,9千-1.4万
数据分析专员,上海,南京飞勒克工业设备有限公司,100-299人 ,外商独资 ,8千-1.2万
数据分析专员,上海-浦东,索尼公司,1000-9999人 ,外商独资 ,1万-1.3万
产品数据分析,上海-虹口,上海锐力健身装备有限公司,1000-9999人 ,合资 ,8千-1万
