job_name,position,diploma,company_name,company_size,company_type,salary
银行后台运营助理(第三方派遣),上海,大专,三井住友银行(中国)有限公司,1000-9999人,外商独资,面议
项目秘书,上海,大专,中交上海航道局有限公司,1000-9999人,国企,5千-7千
视觉/平面/视频/网页设计师/经理(医药/营养/保健),上海,大专,上海复旦奥医医学科技有限公司,100-299人,合资,6千-1.2万
电商运营助理,上海,大专,上海睿岸贸易有限公司,100-299人,民营,5千-8千
底薪7k+1k房补运营助理/周末双休,上海,大专,上海进得信息技术有限公司,100-299人,民营,1万-1.1万
闵行置业顾问×提供实习岗×带薪培训×五险一金×管培生储备,上海,本科,上海链家地产,10000人以上,民营,1.2万-1.5万
C2B运营/储备管理层/新人年薪10万起/老人年薪过百万,上海,本科,上海链家地产,10000人以上,民营,8千-1.6万
保底8000元+单位200米到地铁口（人生总要买次房）高速发展+管理层双向发展+储备店长,上海,本科,上海链家地产,10000人以上,民营,8千-1.6万
市场营销,上海,本科,上海链家地产,10000人以上,民营,1万-2万
财务管培生,上海,本科,钰真(上海)信息技术有限公司,500-999人,民营,8千-1.1万
市场专员/主管,上海,本科,上海高顿教育科技有限公司,1000-9999人,民营,8千-1.2万
类脑人工智能科学与技术研究院招聘3名专任助理研究员,上海,博士,复旦大学,10000人以上,事业单位,1.4万-2.8万
媒介专员/KOC/KOL/BD/PR,上海,学历不限,上海乙十生物医疗科技有限公司,100-299人,民营,8千-1.5万
产品管培生（营销类）（2023届）,上海,硕士,上海爱数信息技术股份有限公司,1000-9999人,民营,1万-1.6万
研究助理,上海,硕士,国盛期货有限责任公司,100-299人,民营,1万-1.5万
市场助理/营销行政(医药/营养/特医/保健/快消/电商),上海,大专,上海复旦奥医医学科技有限公司,100-299人,合资,6千-1.2万
不限经验/销售实习生/7500底薪,上海,大专,深圳市乐有家控股集团有限公司,10000人以上,民营,7千-1.4万
数据分析：客群80%华为，年薪100k，急募储备干部,上海,本科,上海链家地产,10000人以上,民营,8千-9千
财务运营助理,上海,本科,外企德科,1000-9999人,合资,8千-9千
运营助理,上海,高中,陵县东晟纺织品有限公司,1000-9999人,民营,5千-8千
闵行互联网销售×储备管培生×带薪培训×无经验也能轻松上手,上海,本科,上海链家地产,10000人以上,民营,1.2万-1.5万
经理助理（应届生）,上海,大专,上海诗政网络科技有限公司,20-99人,民营,4千-8千
业务助理,上海,大专,上海度标检测技术有限公司,100-299人,民营,5千-6千
链家直聘客户经理（薪资8K起月收入轻松过万）,上海,本科,上海链家地产,10000人以上,民营,8千-1.6万
世界500强，直招客户代表8000底薪,上海,本科,上海链家地产,10000人以上,民营,8千-1.6万
跨境电商运营专员（亚马逊）,上海,本科,上海元雀信息科技有限公司,20-99人,民营,7千-1万
电商助理,上海,大专,上海三渡,100-299人,民营,5千-6千
综合专员（会可视化数据分析）,上海,大专,深圳万科祥盈管理服务有限公司,1000-9999人,上市公司,6千-7千
天猫京东商品主管/商品专员,上海,高中,上海汇材电子商务有限公司,1000-9999人,民营,5千-7千
采购专员,上海,大专,山东爱普食品工业有限公司,100-299人,民营,6千-1.2万
数据运营助理（五险一金+十三薪）,上海,本科,广州盛世鑫鸿商务咨询有限公司,20-99人,民营,9千-1.5万
电商运营|周末双休|朝九晚六|月综合8k+,上海,本科,上海简帛科技中心,20-99人,,7千-1万
直播运营助理,上海,大专,上海文初文化用品有限公司,20-99人,民营,6千-9千
上海浦东发展（集团）有限公司-人力资源岗,上海,本科,智联猎头,1000-9999人,上市公司,1.5万-2万
人力资源专员,上海,本科,中航临港国际物流(上海)有限公司,100-299人,国企,6千-9千
产品专员（MI）(J13733),上海,本科,传音控股,10000人以上,民营,1万-2万
产品助理,上海,大专,上海侨菲咨询管理有限公司,300-499人,民营,8千-1万
平台运营经理,上海,本科,北京凡尔康管理咨询有限公司,100-299人,民营,2.5万-3.5万
医疗器械销售助理,上海,大专,上海汇中细胞生物科技有限公司,20-99人,民营,6千-8千
仓储支持专员（2023届校招）,上海,本科,上海紫途电子商务有限公司,10000人以上,民营,6千-8千
市场营销专员,上海,大专,上海贯友装饰材料有限公司,20-99人,其它,6千-8千
海外推广 facebook google,上海,本科,上海梦马商贸有限公司,20人以下,股份制企业,1万-2万
教务助理转岗/六险一金/不限经验,上海,本科,丽兹行,1000-9999人,民营,8千-1.2万
【校招】资产评估项目助理,上海,本科,容诚会计师事务所(特殊普通合伙)厦门分所,500-999人,民营,9千-1万
固收项目助理,上海,本科,深圳中深国投基金管理有限公司,300-499人,民营,7千-1万
市场&品牌专员,上海,本科,聚信租赁,100-299人,合资,1万-1.5万
保障年薪10万起 互联网 数据分析 五险一金 大平台+置业顾问,上海,本科,上海链家地产,10000人以上,民营,8千-1.5万
运营助理,上海,大专,武汉佰钧成技术有限责任公司,1000-9999人,民营,6千-7千
新人运营岗,上海,本科,上海富仕勒数码科技有限公司,20-99人,民营,8千-1.2万
招聘担当,上海,本科,无印良品（上海）商业有限公司,1000-9999人,外商独资,7千-9千
航运管理管培生（校招）,上海,硕士,中谷物流,1000-9999人,上市公司,8千-1.2万
电商运营助理,上海,大专,摩恩中国,100-299人,外商独资,面议
数据专员,上海,本科,上海思勃商务咨询有限公司,20-99人,民营,6千-8千
采销专员（2023届校招）,上海,本科,上海紫途电子商务有限公司,10000人以上,民营,8千-1.2万
运营专员-销售运营方向（2023届校招）,上海,本科,上海紫途电子商务有限公司,10000人以上,民营,8千-1.2万
整合营销推广经理,上海,本科,浙江蓝美技术股份有限公司,100-299人,,2.5万-5万
🔍销售顾问（有无行业经验均可）月薪8K+高提成+就近住宿,上海,本科,上海链家地产,10000人以上,民营,1.2万-2万
